iter	RMSE
0	14.65455852
1	14.27584132
2	13.90498595
3	13.53824186
4	13.21627969
5	12.93081716
6	12.62763041
7	12.33541725
8	12.07470394
9	11.78333828
10	11.4921334
11	11.25676172
12	11.02967926
13	10.79406368
14	10.56441202
15	10.31880629
16	10.1000373
17	9.885415862
18	9.677358619
19	9.490728224
20	9.338688563
21	9.180909015
22	8.996172815
23	8.826340428
24	8.680071828
25	8.543337989
26	8.400208037
27	8.268869153
28	8.137113492
29	8.014435784
30	7.910535106
31	7.799751228
32	7.692879439
33	7.60009226
34	7.495989143
35	7.400652033
36	7.304526075
37	7.221877592
38	7.128934551
39	7.047764789
40	6.985437909
41	6.917306435
42	6.839774442
43	6.782024508
44	6.713402878
45	6.653092611
46	6.59408931
47	6.538924316
48	6.482259802
49	6.428195968
50	6.375081818
51	6.321577054
52	6.271903189
53	6.222031753
54	6.173301428
55	6.128064164
56	6.088967203
57	6.051330221
58	6.012260752
59	5.981246303
60	5.945566941
61	5.906722245
62	5.869293232
63	5.836405655
64	5.811778939
65	5.780420702
66	5.752476049
67	5.72342421
68	5.705588771
69	5.679377218
70	5.65629657
71	5.628484476
72	5.60655368
73	5.585297516
74	5.56337494
75	5.544836452
76	5.524324286
77	5.509064698
78	5.49109648
79	5.474256919
80	5.459634288
81	5.447337198
82	5.440968193
83	5.426623401
84	5.411089729
85	5.395233378
86	5.381695019
87	5.367390572
88	5.355437083
89	5.34819165
90	5.332325983
91	5.321490171
92	5.309072401
93	5.298017295
94	5.289340906
95	5.278773077
96	5.269500132
97	5.257827981
98	5.248060664
99	5.236621339
100	5.227594104
101	5.217229776
102	5.207987245
103	5.202390639
104	5.189174463
105	5.177861979
106	5.17140227
107	5.164063205
108	5.154921449
109	5.145128988
110	5.138453078
111	5.131918155
112	5.127037435
113	5.120088946
114	5.115521642
115	5.109503603
116	5.102211466
117	5.098495867
118	5.08945261
119	5.081486965
120	5.078459681
121	5.071326419
122	5.069571718
123	5.064179873
124	5.059573815
125	5.054889486
126	5.048955473
127	5.036992735
128	5.030801372
129	5.027827076
130	5.021695011
131	5.014095341
132	5.009103027
133	5.000826926
134	4.993395744
135	4.98969767
136	4.982327539
137	4.9785841
138	4.972941388
139	4.966357364
140	4.960705757
141	4.958331091
142	4.949415328
143	4.945037682
144	4.938735787
145	4.935721224
146	4.928768887
147	4.925428391
148	4.922352365
149	4.91745039
150	4.913160749
151	4.909002887
152	4.903600449
153	4.899197264
154	4.895980705
155	4.89043712
156	4.883921944
157	4.88085378
158	4.878681264
159	4.874368074
160	4.872886948
161	4.869227814
162	4.865434039
163	4.85875158
164	4.854434505
165	4.850587993
166	4.846670466
167	4.844785127
168	4.840961548
169	4.836646735
170	4.831839451
171	4.827700657
172	4.821824664
173	4.816397997
174	4.813699769
175	4.810513685
176	4.806421662
177	4.802358824
178	4.797419963
179	4.789498146
180	4.785335041
181	4.780799357
182	4.780447169
183	4.777216656
184	4.772517262
185	4.767487167
186	4.76549987
187	4.761574465
188	4.755625
189	4.751549339
190	4.746372827
191	4.73984431
192	4.734560591
193	4.730010527
194	4.724635092
195	4.720649898
196	4.715978034
197	4.709861115
198	4.70354665
199	4.699600848
200	4.694609538
201	4.692590755
202	4.690385894
203	4.687141593
204	4.684004263
205	4.68044874
206	4.677388575
207	4.672633118
208	4.6706562
209	4.665685211
210	4.660541742
211	4.658748794
212	4.656880347
213	4.655146164
214	4.652907441
215	4.649641339
216	4.647293513
217	4.645011785
218	4.63899841
219	4.637834227
220	4.635895898
221	4.627438937
222	4.625956383
223	4.623264088
224	4.620969387
225	4.618437832
226	4.614939344
227	4.611397759
228	4.607124329
229	4.604487243
230	4.603079962
231	4.599861232
232	4.596207953
233	4.592113164
234	4.590197123
235	4.587222695
236	4.581419728
237	4.580456087
238	4.576118737
239	4.57355932
240	4.570749363
241	4.566690838
242	4.559802995
243	4.559025071
244	4.555417757
245	4.551770047
246	4.545863087
247	4.542819795
248	4.540078468
