iter	Passed	Remaining
0	1	179
1	3	157
2	5	162
3	6	160
4	7	151
5	9	150
6	11	146
7	12	142
8	13	141
9	15	138
10	16	135
11	18	133
12	19	130
13	20	128
14	22	127
15	23	124
16	25	123
17	26	119
18	27	118
19	29	116
20	30	113
21	31	111
22	32	109
23	34	108
24	35	107
25	37	106
26	38	104
27	40	103
28	42	103
29	43	100
30	44	99
31	46	98
32	47	96
33	49	95
34	50	94
35	52	92
36	53	91
37	55	90
38	56	88
39	58	87
40	59	86
41	61	84
42	62	83
43	63	81
44	65	79
45	66	78
46	67	76
47	69	75
48	70	73
49	71	71
50	73	70
51	74	68
52	75	67
53	77	65
54	78	64
55	79	62
56	81	61
57	82	59
58	84	58
59	85	56
60	86	55
61	88	54
62	89	52
63	91	51
64	92	49
65	93	48
66	95	46
67	96	45
68	98	44
69	99	42
70	100	41
71	102	39
72	103	38
73	104	36
74	106	35
75	107	34
76	109	32
77	110	31
78	112	29
79	113	28
80	115	27
81	116	25
82	118	24
83	119	22
84	120	21
85	122	19
86	124	18
87	125	17
88	127	15
89	128	14
90	129	12
91	131	11
92	132	9
93	133	8
94	135	7
95	136	5
96	137	4
97	139	2
98	140	1
99	142	0
