iter	Passed	Remaining
0	1	1726
1	3	1585
2	4	1567
3	6	1596
4	8	1609
5	9	1586
6	11	1604
7	13	1626
8	14	1638
9	16	1644
10	17	1617
11	19	1596
12	20	1583
13	22	1575
14	23	1561
15	25	1542
16	26	1536
17	27	1527
18	30	1566
19	31	1553
20	33	1542
21	34	1532
22	35	1519
23	37	1509
24	38	1502
25	39	1493
26	41	1497
27	43	1499
28	44	1500
29	46	1491
30	47	1492
31	48	1481
32	50	1474
33	51	1467
34	52	1456
35	54	1447
36	55	1449
37	57	1448
38	58	1442
39	59	1434
40	61	1427
41	62	1423
42	63	1418
43	65	1416
44	66	1416
45	68	1411
46	69	1408
47	70	1406
48	73	1418
49	74	1423
50	76	1421
51	77	1417
52	79	1417
53	80	1414
54	82	1410
55	83	1403
56	84	1401
57	85	1395
58	87	1393
59	88	1391
60	90	1393
61	91	1390
62	93	1389
63	94	1385
64	95	1380
65	97	1376
66	98	1372
67	100	1370
68	101	1365
69	102	1366
70	104	1363
71	105	1362
72	106	1358
73	108	1352
74	109	1348
75	110	1346
76	112	1345
77	113	1342
78	114	1338
79	116	1336
80	117	1335
81	119	1335
82	119	1325
83	121	1322
84	123	1325
85	124	1322
86	125	1320
87	127	1316
88	128	1312
89	129	1309
90	130	1306
91	133	1316
92	134	1313
93	136	1313
94	137	1310
95	138	1307
96	140	1306
97	141	1303
98	142	1299
99	144	1298
100	145	1296
101	147	1294
102	148	1292
103	149	1289
104	151	1287
105	152	1285
106	153	1281
107	155	1280
108	156	1278
109	157	1274
110	158	1271
111	160	1270
112	161	1270
113	163	1270
114	164	1268
115	166	1266
116	167	1265
117	169	1265
118	170	1262
119	171	1259
120	173	1257
121	174	1253
122	175	1250
123	176	1249
124	178	1247
125	180	1249
126	181	1246
127	182	1244
128	184	1244
129	185	1241
130	186	1240
131	188	1237
132	189	1235
133	190	1232
134	192	1231
135	193	1229
136	194	1227
137	196	1225
138	197	1222
139	198	1219
140	199	1217
141	200	1212
142	201	1210
143	203	1208
144	204	1204
145	205	1201
146	207	1202
147	208	1200
148	209	1198
149	211	1196
150	212	1194
151	213	1192
152	214	1189
153	215	1186
154	217	1183
155	218	1181
156	219	1179
157	221	1178
158	223	1179
159	224	1178
160	225	1174
161	226	1172
162	227	1170
163	229	1168
164	230	1167
165	231	1165
166	233	1163
167	234	1160
168	235	1159
169	237	1160
170	239	1160
171	240	1158
172	242	1157
173	243	1156
174	244	1153
175	245	1151
176	247	1148
177	248	1146
178	249	1145
179	251	1145
180	253	1148
181	255	1149
182	257	1148
183	258	1147
184	259	1145
185	261	1144
186	262	1142
187	264	1140
188	265	1139
189	267	1140
190	269	1140
191	270	1139
192	272	1137
193	273	1135
194	274	1133
195	275	1131
196	277	1130
197	278	1128
198	279	1125
199	281	1124
200	282	1123
201	283	1121
202	285	1121
203	286	1118
204	288	1117
205	289	1115
206	290	1113
207	292	1112
208	293	1110
209	294	1108
210	296	1107
211	297	1106
212	300	1109
213	301	1107
214	302	1105
215	304	1103
216	305	1102
217	306	1099
218	308	1098
219	309	1097
220	310	1095
221	312	1094
222	314	1094
223	315	1093
224	317	1092
225	318	1090
226	319	1088
227	320	1086
228	322	1084
229	323	1083
230	325	1082
231	326	1080
232	327	1079
233	329	1079
234	330	1077
235	332	1075
236	333	1073
237	334	1071
238	335	1069
239	337	1068
240	338	1066
241	339	1064
242	341	1062
243	342	1062
244	344	1061
245	345	1059
246	346	1057
247	348	1055
248	349	1053
249	350	1051
250	351	1050
251	353	1048
252	354	1046
253	355	1044
254	356	1042
255	358	1042
256	360	1041
257	361	1039
258	362	1037
259	363	1035
260	365	1033
261	366	1032
262	367	1030
263	369	1029
264	370	1027
265	371	1026
266	373	1024
267	374	1023
268	375	1021
269	377	1020
270	378	1018
271	380	1017
272	381	1015
